date,act_symbol,expiration,strike,type,bid,ask,vol,delta,gamma,theta,vega,rho,underlying_price
9/2/2019,A,15/2/2019,65,Call,10.5,11.25,0.2705,1,0,-0.0046,0,0.0124,74.28
9/2/2019,A,15/2/2019,65,Put,0,0.03,0.3133,-0.0002,0.0002,-0.0002,0.0001,0,74.28
9/2/2019,A,15/2/2019,67.5,Call,8.15,8.5,0.2705,0.9991,0.001,-0.0053,0.0003,0.0129,74.28
9/2/2019,A,15/2/2019,67.5,Put,0,0.03,0.3133,-0.0034,0.0031,-0.0024,0.0011,0,74.28
9/2/2019,A,15/2/2019,70,Call,5.7,6,0.2705,0.9845,0.0137,-0.0127,0.0041,0.0132,74.28
9/2/2019,A,15/2/2019,70,Put,0.03,0.05,0.3133,-0.0308,0.0212,-0.0162,0.0073,-0.0005,74.28
9/2/2019,A,15/2/2019,72.5,Call,3.35,3.6,0.2626,0.8955,0.0658,-0.0402,0.019,0.0123,74.28
9/2/2019,A,15/2/2019,72.5,Put,0.12,0.15,0.26,-0.1021,0.0655,-0.0343,0.0189,-0.0014,74.28
9/2/2019,A,15/2/2019,75,Call,1.33,1.49,0.2241,0.6456,0.1583,-0.0659,0.039,0.0091,74.28
9/2/2019,A,15/2/2019,75,Put,0.52,0.6,0.2201,-0.353,0.1619,-0.0598,0.039,-0.0047,74.28
9/2/2019,A,15/2/2019,77.5,Call,0.21,0.23,0.1861,0.2034,0.1449,-0.0405,0.0297,0.0029,74.28
9/2/2019,A,15/2/2019,77.5,Put,1.73,1.97,0.1721,-0.8214,0.1506,-0.0306,0.0281,-0.0081,74.28
9/2/2019,A,15/2/2019,80,Call,0,0.03,0.1861,0.0196,0.0244,-0.0067,0.005,0.0003,74.28
9/2/2019,A,15/2/2019,80,Put,4.1,4.35,0.1721,-0.9998,0.007,0,0.0005,0,74.28
9/2/2019,A,15/2/2019,82.5,Call,0,0.03,0.1861,0.0006,0.001,-0.0003,0.0002,0,74.28
9/2/2019,A,15/2/2019,82.5,Put,6.6,7.25,0.1721,-1,0,0,0,0,74.28
9/2/2019,A,15/2/2019,85,Call,0,0.03,0.1861,0,0,0,0,0,74.28
9/2/2019,A,15/2/2019,85,Put,9.1,9.75,0.1721,-1,0,0,0,0,74.28
9/2/2019,A,15/3/2019,65,Call,11.05,11.35,0.3457,0.9349,0.0157,-0.0189,0.0298,0.0571,74.28
9/2/2019,A,15/3/2019,65,Put,0.2,0.24,0.3386,-0.0613,0.0153,-0.0135,0.0291,-0.0044,74.28
9/2/2019,A,15/3/2019,67.5,Call,8.75,9,0.3222,0.8921,0.0245,-0.0242,0.0435,0.0562,74.28
9/2/2019,A,15/3/2019,67.5,Put,0.38,0.43,0.321,-0.1071,0.0246,-0.0194,0.0442,-0.0076,74.28
9/2/2019,A,15/3/2019,70,Call,6.55,6.8,0.3009,0.8233,0.0368,-0.0301,0.0608,0.0534,74.28
9/2/2019,A,15/3/2019,70,Put,0.68,0.75,0.3022,-0.1782,0.037,-0.0256,0.0613,-0.0124,74.28
